description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento Riacho Fundo II;QS 21 Conjunto 1;Riacho Fundo II;50;2;0;1;1;220000;0;0;-
CSA 3, 3qts, andar alto,vista livre e com garagem.;CSA;Taguatinga Sul;62;3;0;1;1;329900;538;980;-
04 suítes, 194 m2, 05vagas - Vazado - PRONTO PARA MORAR - Setor Noroeste;SQNW 306 Bloco H;Setor Noroeste;-;4;4;6;4;2520000;0;0;-
Apartamento 2 quartos com suíte e varanda próximo ao metrô - Ceilândia;QNN 11;Ceilândia Norte;114;2;1;2;1;309900;421;500;-
QC-5 CONDOMÍNIO 10 - Apto de 2 quartos reformado!!! Aceita financiamento...;Quadra QC 5 Conjunto 3;Riacho Fundo II;-;2;0;1;1;150000;300;0;-
Duplex para venda com 51 metros quadrados com 1 quarto em Zona Industrial - Brasília - DF;SGCV Lote 13;Zona Industrial;51;1;1;1;1;780000;0;0;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCA;Taguatinga Norte;48;2;0;1;1;246000;317;520;-
Apartamento no residencial Gamaggiore;Quadra 1;Setor Industrial;57;2;1;2;1;335000;-;-;-
Apartamento para venda tem 52 metros quadrados com 2 quartos em Guará II - Brasília - DF;QE 38;Guará II;-;2;-;1;1;394000;0;0;-
Excelente Apto 4Qtos no Rossi Splendore no Setor Industrial - Brasília - DF;Quadra 1;Setor Industrial;110;4;1;2;2;770000;619;800;-
VENDA - CRUZEIRO NOVO - 2 QUARTOS;SHCES Quadra 1107 Bloco B;Cruzeiro Novo;88;2;0;2;0;480000;430;0;-
Cobertura Duplex 2 Quartos, Samambaia Norte;QS 601 Conjunto I;Samambaia Norte;91;2;0;2;1;569000;500;-;-
QN 05C, apartamento 3 quartos 2 banheiros R$ 170.000 prest. R$ 430,00;QN 5C;Riacho Fundo II;63;3;1;1;1;170000;300;0;-
Venda Apartamento Reformado - Enxoval Completo e Piso Aquecido - Portal Master;CCSW 1 Lote 4 Bloco A;Setor Sudoeste;-;1;1;1;1;520000;410;0;-
Agio de apto. 3 Quartos 72m2, 2 Vagas - Res. Montana bloco A - Águas Claras;QS 5 Rua 400;Areal;-;3;1;2;2;123000;0;0;-
Apartamento para venda tem 188 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das Carnaúbas;Norte;-;3;3;5;3;1339528;0;0;-
Águas Claras, Res. Lucena Roriz, 2 qts + DCE;Avenida Pau Brasil;Norte;78;2;1;3;1;540000;600;1500;-
Apartamento para venda tem 61 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;QS 113;Samambaia Sul;-;2;1;2;1;225000;340;300;-
Apartamento para venda possui 60 metros quadrados com 2 quartos;Rua 10 Chácara 154/1;Setor Habitacional Vicente Pires;-;2;-;1;-;190000;0;0;-
Apartamento para venda possui 41 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;QNL 23 Bloco D;Taguatinga Norte;60;2;0;1;1;170000;280;0;-
Apartamento com 4 dormitórios à venda, 308 m² por R$ 1.380.000,00 - Águas Claras - Águas Claras/DF;Avenida das Araucárias;Sul;30804;4;3;6;0;1380000;866;1944;-
1 Quarto Varanda RESIDENCIAL ICARO;Avenida Jequitibá;Sul;52;1;1;1;1;295000;389;530;-
VENDA - EXCELENTE APARTEMENTO - 305 SUL;SQS 305;Asa Sul;164;3;1;1;-;1390000;0;0;-
Apartamento para venda tem 123 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;SQN 307;Asa Norte;207;3;1;3;1;1380000;900;0;-
SQN 416 REFORMADO, VAZADO;SQN 416;Asa Norte;62;3;0;2;0;620000;518;196;-
Apartamento para venda tem 46 metros quadrados com 2 quartos em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;2;-;1;1;148000;200;0;-
Apartamento 2 quartos Asa Norte SQN 116 Bloco H;SQN 116 Bloco H;Asa Norte;85;2;-;2;-;740000;460;900;-
Apartamento para venda possui 159 metros quadrados com 3 quartos em Asa Sul - Brasília - DF;SQS 202 Bloco D;Asa Sul;-;3;1;3;1;1700000;1532;2600;-
Apartamento para venda com 97 metros quadrados com 3 quartos em Sul - Brasília - DF;Quadra 201;Sul;109;3;1;3;1;610000;1300;1111111;-
Apartamento de 45m² com 2 quartos, elevador e vaga de garagem coberta - Taguatinga Sul;QSE 9;Taguatinga Sul;45;2;0;1;1;199000;150;50;-
